Número de candidatos votados - prefeito
Sigla;Código;Município;2004;2008;2012;2016;2020;
BA;2922300;Muritiba;5;3;4;3;4;
BA;2922409;Mutuípe;4;2;2;3;3;
BA;2922508;Nazaré;4;4;3;5;5;
BA;2922607;Nilo Peçanha;2;2;3;2;3;
BA;2922656;Nordestina;2;3;3;2;3;
BA;2922706;Nova Canaã;3;3;3;2;;
BA;2922730;Nova Fátima;3;2;2;2;2;
BA;2922755;Nova Ibiá;2;3;3;;2;
BA;2922805;Nova Itarana;3;3;3;2;2;
BA;2922854;Nova Redenção;3;2;3;2;4;
BA;2922904;Nova Soure;4;3;;4;4;
BA;2923001;Nova Viçosa;4;2;3;4;4;
BA;2923035;Novo Horizonte;2;2;2;2;2;
BA;2923050;Novo Triunfo;2;2;2;2;2;
BA;2923100;Olindina;2;4;3;5;3;
BA;2923209;Oliveira dos Brejinhos;3;2;2;2;2;
BA;2923308;Ouriçangas;1;2;3;3;2;
BA;2923357;Ourolândia;2;4;2;3;2;
BA;2923407;Palmas de Monte Alto;3;2;2;2;4;
BA;2923506;Palmeiras;2;4;4;3;;
BA;2923605;Paramirim;2;3;3;2;3;
BA;2923704;Paratinga;3;2;2;4;2;
BA;2923803;Paripiranga;3;4;5;4;2;
BA;2923902;Pau Brasil;;3;2;4;3;
BA;2924009;Paulo Afonso;4;5;4;3;5;
BA;2924058;Pé de Serra;3;4;2;2;3;
BA;2924108;Pedrão;4;4;3;3;2;
BA;2924207;Pedro Alexandre;3;3;4;3;2;
BA;2924306;Piatã;2;3;2;2;2;
BA;2924405;Pilão Arcado;3;3;3;4;2;
BA;2924504;Pindaí;2;2;2;3;2;
BA;2924603;Pindobaçu;2;3;2;;3;
BA;2924652;Pintadas;2;2;3;2;2;
BA;2924678;Piraí do Norte;2;3;3;2;2;
BA;2924702;Piripá;2;2;3;3;3;
BA;2924801;Piritiba;2;3;3;3;2;
BA;2924900;Planaltino;3;2;3;2;2;
BA;2925006;Planalto;3;2;2;2;4;
BA;2925105;Poções;4;4;2;4;5;
BA;2925204;Pojuca;3;5;4;5;;
BA;2925253;Ponto Novo;2;4;;3;2;
BA;2925303;Porto Seguro;6;4;5;4;5;
BA;2925402;Potiraguá;3;3;2;;2;
BA;2925501;Prado;5;4;3;3;4;
BA;2925600;Presidente Dutra;3;3;3;2;2;
BA;2925709;Presidente Jânio Quadros;3;3;2;2;3;
BA;2925758;Presidente Tancredo Neves;2;3;5;2;5;
BA;2925808;Queimadas;6;4;4;2;2;
BA;2925907;Quijingue;2;3;3;3;2;
BA;2925931;Quixabeira;3;2;2;2;2;
BA;2925956;Rafael Jambeiro;3;2;2;2;3;
BA;2926004;Remanso;3;4;2;3;3;
BA;2926103;Retirolândia;2;2;4;2;2;
BA;2926202;Riachão das Neves;3;2;6;3;2;
BA;2926301;Riachão do Jacuípe;5;4;3;4;3;
BA;2926400;Riacho de Santana;2;2;2;2;3;
BA;2926509;Ribeira do Amparo;2;3;5;3;4;
BA;2926608;Ribeira do Pombal;3;2;4;2;2;
BA;2926657;Ribeirão do Largo;3;2;4;4;3;
